Measure start	Figure	Species	Modal final	Cantus firmus	Measure end	Measure Count
1	160	1	d	2	11	11
12	163	1	d	1	22	11
23	164	1	d	3	33	11
34	165	1	d	4	44	11
45	166	1	e	1	54	10
55	167	1	e	2	64	10
65	168	1	e	3	74	10
75	169	1	f	2	86	12
87	170	1	f	1	98	12
99	171	1	f	3	110	12
111	172	1	f	4	122	12
123	173	2	d	1	133	11
134	174	2	d	2	144	11
145	175	2	d	3	155	11
156	176	2	d	4	166	11
167	177	3	d	2	177	11
178	180	3	d	4	188	11
189	181	3	d	2	199	11
200	182	3	d	2	210	11
211	183	3	e	2	220	10
221	184	3	e	1	230	10
231	185	3	e	2	240	10
241	186	3	e	3	250	10
251	193	4	d	2	261	11
262	195	4	d	4	272	11
273	196	4	d	1	283	11
284	197	4	d	2	294	11
295	200	5	d	2	305	11
306	201	5	d	1	316	11
317	202	5	d	4	327	11
328	203	5	d	2	338	11
339	204	2,3,4	d	4	349	11
